run_name,eval_csv_name,data_idx,std_speed,max_speed,heading_change_per_sec,mean_acceleration,ml_ade_log
full_trainval_12ep_1seed,eval_epoch_12.csv,5945,0.0626961379211381,1.111067954717402,2.4851320731514934,0.0073834113263149,0.12509137112692706
full_trainval_12ep_1seed,eval_epoch_12.csv,20301,0.1325212980551154,1.241650514436256,8.212593040223473,-0.0541336350769321,0.4624591850626393
full_trainval_12ep_1seed,eval_epoch_12.csv,19657,0.0877680011838692,0.4879221249338468,34.875747829895246,-0.022122218357262,0.3610034068649761
full_trainval_12ep_1seed,eval_epoch_12.csv,18560,0.1353520251003558,0.4382556331639415,78.65328611857218,0.0167066187815336,0.18222203940428403
full_trainval_12ep_1seed,eval_epoch_12.csv,19622,0.3970709633675693,1.470402665938972,17.080256074837457,-0.0784718554913112,0.9318546371798037
full_trainval_12ep_1seed,eval_epoch_12.csv,19855,0.273916443507818,1.058619856228045,23.97312606823249,-0.0893103904357117,0.48523836648911567
full_trainval_12ep_1seed,eval_epoch_12.csv,16991,0.3429350325663878,1.4888451900718145,1.7803916721974131,0.0050881822726673,0.4352296035333784
full_trainval_12ep_1seed,eval_epoch_12.csv,17555,0.1611691515382755,1.4683936801826236,11.322996497395765,-0.0563664823595973,0.3388994380701844
full_trainval_12ep_1seed,eval_epoch_12.csv,9217,0.3108149013091347,1.5326069293854443,3.6709502824110833,-0.1424075739567576,0.2818544392794597
full_trainval_12ep_1seed,eval_epoch_12.csv,6007,0.4529974110593869,2.580809950383786,5.859498717303032,0.1494029153988724,0.9316751414805396
full_trainval_12ep_1seed,eval_epoch_12.csv,7178,0.0383392046483523,1.226411024086054,2.5099060666477238,0.0050111300427161,0.1543962165596475
full_trainval_12ep_1seed,eval_epoch_12.csv,18413,0.0433277088634887,1.4541444219882764,2.706354804834309,-0.0121138704061459,0.227442426253262
full_trainval_12ep_1seed,eval_epoch_12.csv,24252,0.1716467629226785,1.685881371864746,8.650058674082093,-0.0039683570936687,0.6233961742479276
